Japanese;UK English;French;German;
"この島から出た事のない
あたしにとっては
まるで夢のような話さ！
・・・は～～～っ
自分の船さえあればねえ";"But...to someone like me, a person who's
never left this little island, it may as well
be a fairy tale out of a child's book.
...Oh, if only I had my own boat!";"Pour moi qui n'ai jamais quitté Mercantîle,
cette île paraît fascinante!


Ah... Si seulement j'avais un bateau...";"Für jemanden wie mich, der diese Insel
noch nie verlassen hat, klingt das natürlich
nach wahnwitziger Fantasterei!

Ach, hätte ich doch nur ein eigenes Boot!";
"竜の島・・・
いつか行ってみたいねえ
ちょっと東にあるだけだって言うし";"Dragon Roost Island...
I'd surely love to go there some day. They
say it's only a little ways to the east...";"L'Ile du Dragon...
J'espère que je pourrai un jour 
la voir, cette île...

J'ai entendu dire qu'elle n'était pas si loin,
en plus, et pile à l'Est d'ici...";"Drakonia...
Eines Tages möchte ich da mal hin! Diese
Insel soll ja irgendwo im Osten liegen...";
"空を舞うリト族・・・
空の精霊・・・なんとも夢のある
島のようだものね！";"The sky-dancing Rito tribe... A mystical
sky spirit... Dragon Roost Island just
sounds like a paradise floating in the
ocean of my dreams!";"Le peuple volant des Piaf...
L'Esprit du Ciel...
C'est fascinant. Vraiment fascinant!";"Das Volk der Orni, welches durch die Lüfte
fliegt... Der Hüter des Himmels... Das klingt
ja beinahe wie aus einem Märchen!";
"そそそ・・・
それ、あんたの船かい？
たまげたね～っ！";"Is... Is... Is that...your boat?
Well, that's startling!";"M... Mais...
C'est ton bateau?
Il fait peur, dis donc!";"I-i-ist das etwa dein Boot...?
Na, da bin ich aber sprachlos!";
"あんた・・・
ドクロの首飾りって
見た事あるかい？";"Have you by chance seen...any
Skull Necklaces?";"As-tu déjà vu un Collier Macabre?";"Hast du schon einmal eine
Totenkopfkette gesehen?";
"うちの息子は船乗りなんだけどねェ
最近、その首飾り集めに夢中で
あたしにちっともかまっちゃくれない";"My son is a sailor, but lately he's been
obsessed with collecting Skull Necklaces.
He never pays attention to his dear mum
anymore! He just goes on about necklaces!";"Mon fils qui est marin se passionne en ce
moment pour ces colliers. Il ne pense plus
qu'à ça et c'est comme si je n'existais plus!";"Mein Sohn ist Seemann und in letzter Zeit
ganz wild auf diese Ketten! So wild,
dass er nur noch Zeit für das Sammeln
und kaum mehr für mich hat!";
"・・・ンモウ！
はくじょうな息子だよ";"...I simply can't believe it! What sort of
cold-hearted boy prefers trinkets to the
company of his own mum?!!";"Non mais quel fils indigne!";"Mit was für einem herzlosen
Sohn bin ich da nur gestraft?";
"それ、幸せのペンダント？
あたしゃ、５０年前に亭主にもらった
婚約指輪があれば、もう何もいらないよ";"Is that a Joy Pendant? Well, how nice for
you. And thanks, but nothing can ever bring
me more joy than the wedding ring my
husband gave to me fifty years ago.";"Mais... C'est un Pendentif du Bonheur?
Tu sais, je ne désire rien de plus que la
bague de fiançailles que j'ai reçue de mon
mari il y a 50 ans...";"Ist das nicht ein Glücksamulett? Aber was
Schmuck angeht, so brauche ich wirklich
nicht mehr als den Ehering meines Mannes,
den er mir vor 50 Jahren gegeben hat!";
"う～ん、できればあたしを
正面から写してくれると
うれしいんだけどねぇ・・・
顔から腰のあたりまで
バッチリ写ってたら文句ないワ！";"Umm, if I may suggest something, I'd prefer
you to take my pictograph from the front...


I'll certainly have no complaints if you take
a perfect shot of me from my face down to,
oh, say...my hips! Yes, that would do nicely!";"Hummm...
A vrai dire, ça me ferait plaisir que tu me 
photographies...
Mais de la tête à la taille, pas plus bas!";"Also, wenn du mir wirklich eine
Freude machen willst, dann fotografiere
mich doch bitte von vorne!

Und zwar so, dass mein Oberkörper samt
Gesicht klar und deutlich zu erkennen ist!";
"ずいぶんうまく写したじゃな～い
・・・カンゲキよ！

でもやっぱり白黒のせいかしらねぇ？
何だか顔色が悪いわ～";"Well, that's an excellent pictograph of me!
...I'm amazed! Usually, I look awful on film!


Oh, but...somehow my complexion just
doesn't look right. Maybe that's because
it's a black and white pictograph...";"C'est une belle photo...
Je suis touchée...


Mais j'ai un peu mauvaise mine...
C'est sans doute à cause du noir et blanc?";"Das ist aber mal eine ausgezeichnete
Aufnahme! Alle Achtung, wirklich!


Aber ich weiß auch nicht, irgendwie sieht
die Gesichtsfarbe nicht allzu gut aus...
Das könnte natürlich auch daran liegen,
dass das Lichtbild schwarzweiß ist...";
"うんうん、今日もこの肌ツヤ
・・・うっとりね！";"Oh, yes! Look at my face!
...How charming!";"Ah, j'ai conservé mon joli teint de
jeune fille...
Quelle chance!";"Na so was, meine Haut sieht ja immer
noch ganz glatt und straff aus!";
"まあ、これが今日のあたし？
・・・肌ツヤばつぐんじゃない！";"Well, is this how I look today?
...Why, I had no idea that the gloss on my
skin was so...perfect!";"C'est donc ainsi que les autres me voient?...
Regarde-moi ce teint éclatant...";"So sehe ich also heute aus?
Aber meine Haut ist ja immer noch
genauso glatt und straff wie früher!";
"あたしもまだまだイケるじゃないか！
・・・何だかいい気分になってきたよォ～

ウン、いい気にさせてくれたごほうびだ
あんたにコレをアゲル！";"Just LOOK at me! I am so stunning!
...Oh, I feel so wonderful now!


I have to reward you for making me
feel so good about myself! Here!";"Je ne suis pas mal conservée, hein?
... Tu m'as mise de bonne humeur, tiens!


Et pour te remercier, je vais te faire un 
petit cadeau. Le voilà!";"Ich bin also noch genauso hinreißend
wie seinerzeit! Du weißt gar nicht, wie gut
einem manchmal etwas Bestätigung tut!

Danke, dass du mir so gute Laune
beschert hast! Hoffentlich kann ich
dir mit einer kleinen Aufmerksamkeit
eine ebensolche schenken!";
"うちの息子がひろってきたものさ
あんたきっと、こういうの好きだろ？
だって、うちの子も好きだもの！";"My son picked it up somewhere, and I
would imagine you like this sort of thing,
correct? My son likes it, so you must, too!";"C'est mon fils qui l'a trouvée.
Ca te fait plaisir? 
Mon fils adore lui aussi ces vieilleries!";"Die hat mein Sohn irgendwo gefunden! Ich
dachte, das könnte vielleicht etwas sein,
worüber du dich freust. Schließlich ist mein
Sohn auch absolut verrückt nach so etwas!";
"これでも若い頃は
ミス・タウラ島だったんだよ

まだまだ若い子には
負けないよ、ホホホ";"If you could indulge me for a moment,
please admit that I am looking FINE!
Why, looking this fine would have won me
the Miss Windfall crown way back when!
I'm STILL looking better than all the
younger girls I know! Hoo hoo hoo!";"Tu sais, dans ma jeunesse, j'ai été 
Miss Mercantîle. 


Et je crois que je peux encore rivaliser 
avec certaines jeunettes!
Ha, ha, ha!";"Ob du es mir glaubst oder nicht,
ich war früher mal die "Miss Port Monee"!


Und ich glaube, ich kann immer
noch ganz gut mit den jungen
Dingern mithalten, hihihihi!";
"ホホホ、今日のあたしは
どんなもんだい？";"Oh, hoo hoo hoo! And how do I look today?";"Ha, ha, ha! 
Je me demande à quoi je ressemble,
aujourd'hui!";"Hihihihi, ob ich heute wohl
noch etwas von meiner Schönheit
aus jungen Jahren an mir habe?";
"いつまでも若々しい肌ツヤ・・・
ホホホ、まだまだ若い子には
負けてないよ";"My skin will always be beautiful!



Hoo hoo hoo! Not even the younger girls
look prettier than me!";"J'ai gardé mon teint de jeune fille...
Ha, ha, ha, je peux encore rivaliser
avec certaines jeunettes! ";"Für immer glatte und straffe Haut... Hihihihi!
Noch kann ich mich ganz gut neben
all den jungen Dingern sehen lassen!";
"あの人ならすぐに、パシャ～ッと
見せてくれるんだけどねぇ？";"You know, HE always shows off his pictures
of me just as soon as he's taken them.";"J'en connais un
qui me tirerait le portrait 
pour me montrer ça tout de suite!...";"Er könnte mir diese Frage sicherlich sofort
beantworten. Länger als einen kurzen Klick
würde es nicht dauern!";
"・・・何だい？
あたしはただ、ここに写し絵を
撮ってもらいに来ただけだよ！";"...What?! I'll have you know I've only come
here to have him take a pictograph of my
exceptionally beautiful skin!";"... Quoi?
Je ne suis venue que pour me faire prendre
en photo!";"Was soll das?
Ich bin nur hier,
um mich fotografieren zu lassen!";
"昔から大の写し絵のファンなんだ
誰かが何かウワサしてるらしいけど・・・

ヘンな想像なんかしちゃ
ただじゃおかないよ！";"I've been a huge fan of pictographs for a
long time now...


So don't go taking this the wrong way! ";"J'ai toujours été une passionnée d'image... 
Je sais que de vilains bruits courent, mais...


Ce ne sont que de fausses rumeurs!";"Ich bin nämlich schon seit jeher
ein riesengroßer Lichtbildliebhaber!
Es soll da ja einige beunruhigende
Gerüchte über mich geben, aber...
...ich warne dich! Mal dir
ja keine Unsittlichkeiten aus!";
"真実の美のため
写し絵の探求を始めて
かれこれ、うん１０年・・・";"Allow me to think... Ah. Yes. I first started
searching for pictographs that recorded
true beauty...oh, about ten years ago...";"Cela fait une bonne dizaine d'années que
nous menons ensemble des recherches sur
la photographie...";"Zehn Jahre ist es nun schon her,
dass ich mich der Fotografie verschrieben
habe und der Ästhetik wahrer
Schönheit auf der Spur bin...";
"すてきね～";"How interesting!";"Splendide!";"Wie bewundernswert!";
"むっ
・・・誰じゃっ！";"Hah?
...Who's there?";"Hé!
Qui va là?";"Nanu?
Wer ist da?";
"ななな、なんじゃおぬしか
驚かせよってからに・・・";"Wh-Wh-Wh-What are you doing here?
Were you trying to give me a heart attack?";"M... Mais qu'est-ce que tu fais là?
Tu m'as vraiment fait peur!";"W-w-w-was? Du bist es?
Warum erschreckst du uns so...?";
"ふむむ・・・それにしても
一体どこから入ったんじゃ？
全然気づかなんだわい！";"Hmm... And now that I think on it, just how
did you get in here? Why, I never even
noticed you!";"Et d'abord, par où es-tu entré?
Je ne t'ai absolument pas vu!";"Aber wie bist du überhaupt
ins Haus gekommen? Ich habe
dich überhaupt nicht bemerkt...";
"幸せのペンダントじゃないか
あんた・・・このあたしを
もっと美しく飾りたてたいっていうの？
まだ若いのに・・・
この子ったらやだよぉ～、全くもう！";"Well, if that isn't a Joy Pendant! Wait...
Are you trying to say that I look even
more fabulous when I wear jewelry?

Why, you delightful little rascal!
Tee hee!";"C'est un Pendentif du Bonheur?
Tu veux me le donner pour que je sois
encore plus belle? 

Tu es encore jeune mais tu sais déjà
comment t'y prendre avec les femmes,
dis-moi!";"Das ist ja ein Glücksamulett!
Willst du mir das etwa geben,
damit ich noch schöner werde?

Aber ich wirke doch auch so noch sehr
jugendlich! Also nein, du bringst
mich aber auch in Verlegenheit, hihihi!";
"いらっしゃい";"Welcome!";"Bonjour!";"Hallo!";
"アラ？
ずいぶん小さなお客さまね
ま、ごゆっくり！";"Oh, my! You're a very small customer,
aren't you? Well, that's fine, of course.
You just feel free to look around!";"Tiens, voilà un bien jeune client!
Vas-y, assieds-toi.";"Na, du bist aber mal ein kleiner Gast!
Bitte mach's dir bei uns gemütlich!";
"あら、なーに？
• 話をする
また今度";"Oh, can I help you with something?
• Let's talk
Maybe next time";"Eh bien?
• Discuter
A la prochaine!";"Was gibt's?
• Plaudern
Gehen";
"バーイ";"Well, 'bye!";"Bye!";"Tschüss!";
"世の中っていろいろあるわよ・・・
あんたにはまだ分からないかも
しれないケドね！";"You know, the world's a crazy place, kiddo.
You're still young, so you probably don't
know about what goes on out there beyond
the comfortable confines of your home.";"Tu sais, ici, 
on voit parfois des choses vraiment 
bizarres...
Mais tu n'es sûrement pas au courant...";"Die Welt und das Leben stecken doch
immer wieder voller Überraschungen!
Aber du bist vielleicht noch zu jung,
um zu wissen, wovon ich rede...";
